document_id,canonical_title,short_title,document_type,jurisdiction,province,authority,subject_categories,official_source_url,local_file_path,language,enactment_date,effective_date,amendment_date,repeal_date,legal_status,version_label,retrieved_at,last_verified_at,content_sha256,mime_type,source_format,is_official_pdf,local_pdf_valid,page_count,ocr_required,verification_status,verification_notes
constitution_amendment_14_act,Constitution (14th Amendment) Act,14th Constitutional Amendment,constitutional_amendment,federal,,Parliament of Pakistan,constitutional;amendment;anti_defection;elections,https://pakistancode.gov.pk/english/amendment_14,data/raw/constitution_amendment_14_act.pdf,en,1997-07-03,1997-07-03,,,in_force,amendment-14-enacted,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,f343219e70b1222df17bebfc684fc6db7121f6b1303ab7338367be924547e6cc,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
constitution_amendment_15_act,Constitution (15th Amendment) Act,15th Constitutional Amendment,constitutional_amendment,federal,,Parliament of Pakistan,constitutional;amendment;shariat;supremacy,https://pakistancode.gov.pk/english/amendment_15,data/raw/constitution_amendment_15_act.pdf,en,1998-08-28,1998-08-28,,,in_force,amendment-15-enacted,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,296c20a003ad341dbafd806f49a9594f7243b2a9f24f3c85bab959fbb05f3769,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
constitution_amendment_16_act,Constitution (16th Amendment) Act,16th Constitutional Amendment,constitutional_amendment,federal,,Parliament of Pakistan,constitutional;amendment;quota;civil_service,https://pakistancode.gov.pk/english/amendment_16,data/raw/constitution_amendment_16_act.pdf,en,1999-06-03,1999-06-03,,,in_force,amendment-16-enacted,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,6512e396fbb839bd8c802b5af1f326c4788c8a5829d5a95a3e527fd51429a3f9,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
constitution_amendment_17_act,Constitution (17th Amendment) Act,17th Constitutional Amendment,constitutional_amendment,federal,,Parliament of Pakistan,constitutional;amendment;lfo;presidential_powers,https://pakistancode.gov.pk/english/amendment_17,data/raw/constitution_amendment_17_act.pdf,en,2003-12-31,2003-12-31,,,in_force,amendment-17-enacted,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,8579ac50c644a98bb4ec48285693162f5be5dd532639f66252f4e637da5922e7,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
constitution_amendment_18_act,Constitution (18th Amendment) Act,18th Constitutional Amendment,constitutional_amendment,federal,,Parliament of Pakistan,constitutional;amendment;devolution;provincial_autonomy;fundamental_rights,https://pakistancode.gov.pk/english/amendment_18,data/raw/constitution_amendment_18_act.pdf,en,2010-04-19,2010-04-19,,,in_force,amendment-18-enacted,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,2493bc322c669f99cd5bc5917b5294f306b735a15984c26fecd2c1f32d87d281,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
constitution_amendment_19_act,Constitution (19th Amendment) Act,19th Constitutional Amendment,constitutional_amendment,federal,,Parliament of Pakistan,constitutional;amendment;judicial_commission;appointments,https://pakistancode.gov.pk/english/amendment_19,data/raw/constitution_amendment_19_act.pdf,en,2011-01-01,2011-01-01,,,in_force,amendment-19-enacted,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,3cb2ae0cdd4b6f7b0107aaf3562c26411c41277a0b527580e5a402a1bc3d59ef,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
constitution_amendment_20_act,Constitution (20th Amendment) Act,20th Constitutional Amendment,constitutional_amendment,federal,,Parliament of Pakistan,constitutional;amendment;caretaker_government;election_commission,https://pakistancode.gov.pk/english/amendment_20,data/raw/constitution_amendment_20_act.pdf,en,2012-02-28,2012-02-28,,,in_force,amendment-20-enacted,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,2c05fee46fa0a776622345f6d734d2bbbdf83e3986593d02c804a479150e5ed9,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
constitution_amendment_21_act,Constitution (21th Amendment) Act,21th Constitutional Amendment,constitutional_amendment,federal,,Parliament of Pakistan,constitutional;amendment;military_courts;anti_terrorism,https://pakistancode.gov.pk/english/amendment_21,data/raw/constitution_amendment_21_act.pdf,en,2015-01-07,2015-01-07,,,in_force,amendment-21-enacted,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,d11eef3631c322ccbcf4d84bcd8f03b8aee0b10f418f20af9580554c04c74a4b,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
constitution_amendment_22_act,Constitution (22th Amendment) Act,22th Constitutional Amendment,constitutional_amendment,federal,,Parliament of Pakistan,constitutional;amendment;election_commission;reforms,https://pakistancode.gov.pk/english/amendment_22,data/raw/constitution_amendment_22_act.pdf,en,2016-06-10,2016-06-10,,,in_force,amendment-22-enacted,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,cb0359e52f7997bf6ae275e21e3d5ba75f00e9f106565e3f13a1ff7e501ed852,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
constitution_amendment_23_act,Constitution (23th Amendment) Act,23th Constitutional Amendment,constitutional_amendment,federal,,Parliament of Pakistan,constitutional;amendment;military_courts;extension,https://pakistancode.gov.pk/english/amendment_23,data/raw/constitution_amendment_23_act.pdf,en,2017-03-31,2017-03-31,,,in_force,amendment-23-enacted,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,fd51704b9b701031e3cf5b1fa31301e28e00ccf1984d0b6cfa4ac439fbf17594,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
constitution_amendment_24_act,Constitution (24th Amendment) Act,24th Constitutional Amendment,constitutional_amendment,federal,,Parliament of Pakistan,constitutional;amendment;census;delimitation,https://pakistancode.gov.pk/english/amendment_24,data/raw/constitution_amendment_24_act.pdf,en,2017-12-22,2017-12-22,,,in_force,amendment-24-enacted,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,159b0eb446190f6e5251a30fddcde3d8f01fea2f4cb8978fc917992a75302949,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
constitution_amendment_25_act,Constitution (25th Amendment) Act,25th Constitutional Amendment,constitutional_amendment,federal,,Parliament of Pakistan,constitutional;amendment;fata_merger;khyber_pakhtunkhwa,https://pakistancode.gov.pk/english/amendment_25,data/raw/constitution_amendment_25_act.pdf,en,2018-05-31,2018-05-31,,,in_force,amendment-25-enacted,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,9a96f143836f68e51114d0c1e5ddf947a40c90c283373a48c0daea0f551f15d1,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
constitution_amendment_26_act,Constitution (26th Amendment) Act,26th Constitutional Amendment,constitutional_amendment,federal,,Parliament of Pakistan,constitutional;amendment;constitutional_benches;judicial_commission,https://pakistancode.gov.pk/english/amendment_26,data/raw/constitution_amendment_26_act.pdf,en,2024-10-21,2024-10-21,,,in_force,amendment-26-enacted,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,47dc0ab0e00c1aa158ecbb82bb9f499bb8a44016c13c9a3af61836e62bf9386e,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
objectives_resolution_1949,"The Objectives Resolution, 1949 (Substantive Part of Constitution under Art 2A)","The Objectives Resolution, 1949",constitution,federal,,State of Pakistan,constitutional;ideology,https://pakistancode.gov.pk,data/raw/objectives_resolution_1949.pdf,en,1949-03-12,1949-03-12,,,in_force,official-registry,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,366f06bf4aaf406ac681c93693e51e3400266c12aa5b83eab6a7d0d3abd4b472,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
legal_framework_order_2002,"Legal Framework Order, 2002 (Chief Executive Order No. 24 of 2002)","Legal Framework Order, 2002",constitution,federal,,State of Pakistan,constitutional;lfo,https://pakistancode.gov.pk,data/raw/legal_framework_order_2002.pdf,en,2002-08-21,2002-08-21,,,amended,official-registry,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,8f4bb7af04adcad26ea067b47ecb001e71a814f2a527ecaf05d9e8b29a7c16bd,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
provisional_constitution_order_2007,Provisional Constitution Order No. 1 of 2007 (PCO),Provisional Constitution Order No. 1 of 2007,constitution,federal,,State of Pakistan,constitutional;pco,https://pakistancode.gov.pk,data/raw/provisional_constitution_order_2007.pdf,en,2007-11-03,2007-11-03,,,amended,official-registry,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,2aa2315c6b86010202d4da196717e4b07857a872dcae1cd5c199f491e5d22a9e,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
pakistan_penal_code_1860,"Pakistan Penal Code, 1860 (Act XLV of 1860)",PPC 1860,act,federal,,Parliament of Pakistan,criminal;substantive_law;offences,https://pakistancode.gov.pk/english/pakistan_penal_code_1860,data/raw/pakistan_penal_code_1860.pdf,en,1860-10-06,1860-10-06,,,in_force,consolidated-2026,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,9e5901bae833038022bcea8edb6f973ae405e70208a95fc973ed82c88607bab4,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
code_of_criminal_procedure_1898,"Code of Criminal Procedure, 1898 (Act V of 1898)",CrPC 1898,act,federal,,Parliament of Pakistan,criminal;procedure;bail;investigation;police,https://pakistancode.gov.pk/english/code_of_criminal_procedure_1898,data/raw/code_of_criminal_procedure_1898.pdf,en,1898-03-22,1898-03-22,,,in_force,consolidated-2026,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,6039faac579969f766db84a0258d8c76dd4db1bffac7451dd18dbd287ee79df3,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
code_of_civil_procedure_1908,"Code of Civil Procedure, 1908 (Act V of 1908)",CPC 1908,act,federal,,Parliament of Pakistan,civil;procedure;injunctions;appeals,https://pakistancode.gov.pk/english/code_of_civil_procedure_1908,data/raw/code_of_civil_procedure_1908.pdf,en,1908-03-21,1908-03-21,,,in_force,consolidated-2026,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,06fc6eceafd5c8c26eb27f89113cd1cc6e7ed1ec75fa1e96903f702b1960d169,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
qanun_e_shahadat_order_1984,"Qanun-e-Shahadat Order, 1984 (President's Order No. 10 of 1984)",QSO 1984,act,federal,,Parliament of Pakistan,evidence;burden_of_proof;witnesses;admissibility,https://pakistancode.gov.pk/english/qanun_e_shahadat_order_1984,data/raw/qanun_e_shahadat_order_1984.pdf,en,1984-10-28,1984-10-28,,,in_force,consolidated-2026,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,dcfbe091b10f71d8ae93d2412a901227c58c58230f8ff800d7d1c291967a39d4,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
specific_relief_act_1877,"Specific Relief Act, 1877 (Act I of 1877)",Specific Relief Act,act,federal,,Parliament of Pakistan,civil;injunction;declaratory_suit;contract_performance,https://pakistancode.gov.pk/english/specific_relief_act_1877,data/raw/specific_relief_act_1877.pdf,en,1877-02-07,1877-02-07,,,in_force,consolidated-2026,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,7fdef5205daf0df4969bef941452a19ab80378e84e36290213d83ae962a2f4ae,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
contract_act_1872,"Contract Act, 1872 (Act IX of 1872)",Contract Act,act,federal,,Parliament of Pakistan,commercial;contract;agreement;breach;damages,https://pakistancode.gov.pk/english/contract_act_1872,data/raw/contract_act_1872.pdf,en,1872-04-25,1872-04-25,,,in_force,consolidated-2026,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,879f00323fb267c385ef4263c1fa066c7ae4bddca83e382add4b8574c30767fe,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
companies_act_2017,"Companies Act, 2017 (Act XIX of 2017)",Companies Act 2017,act,federal,,Parliament of Pakistan,corporate;commercial;secp;incorporation;directors,https://pakistancode.gov.pk/english/companies_act_2017,data/raw/companies_act_2017.pdf,en,2017-05-30,2017-05-30,,,in_force,consolidated-2026,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,8c6add5b94b50a500ab6ea7ef399cb5d16a3008bcaa400a83620638868af69e6,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
income_tax_ordinance_2001,"Income Tax Ordinance, 2001 (Ordinance XLIX of 2001)",ITO 2001,ordinance,federal,,Parliament of Pakistan,taxation;income_tax;fbr;assessment;withholding,https://pakistancode.gov.pk/english/income_tax_ordinance_2001,data/raw/income_tax_ordinance_2001.pdf,en,2001-09-13,2001-09-13,,,in_force,consolidated-2026,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,1e0b0c75d2f291d9478bc66a0d0eee07a6658489f3a5bb8def392bc1d3a9ea09,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
sales_tax_act_1990,"Sales Tax Act, 1990 (Act VII of 1990)",Sales Tax Act,act,federal,,Parliament of Pakistan,taxation;sales_tax;fbr;value_added_tax,https://pakistancode.gov.pk/english/sales_tax_act_1990,data/raw/sales_tax_act_1990.pdf,en,1990-06-30,1990-06-30,,,in_force,consolidated-2026,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,f02450862fa5420b0b5bd7aa5b7bb6ac9fec424fe928f364525ed66d1aee37dd,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
anti_terrorism_act_1997,"Anti-Terrorism Act, 1997 (Act XXVII of 1997)",ATA 1997,act,federal,,Parliament of Pakistan,criminal;terrorism;atc;national_security,https://pakistancode.gov.pk/english/anti_terrorism_act_1997,data/raw/anti_terrorism_act_1997.pdf,en,1997-08-20,1997-08-20,,,in_force,consolidated-2026,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,fbd7e6dd677aef0857fba333a57bd95c5168e3245c89267c1ae501050bf52816,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
prevention_of_electronic_crimes_act_2016,"Prevention of Electronic Crimes Act, 2016 (Act XL of 2016)",PECA 2016,act,federal,,Parliament of Pakistan,cybercrime;technology;digital_evidence;fia,https://pakistancode.gov.pk/english/prevention_of_electronic_crimes_act_2016,data/raw/prevention_of_electronic_crimes_act_2016.pdf,en,2016-08-19,2016-08-19,,,in_force,consolidated-2026,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,c9854cffe3fc7021f3198bde7d4790e1b3107472e705ffa0c334026f74eefdd3,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
federal_investigation_agency_act_1974,"Federal Investigation Agency Act, 1974 (Act VIII of 1975)",FIA Act 1974,act,federal,,Parliament of Pakistan,investigation;fia;federal_crimes;immigration,https://pakistancode.gov.pk/english/federal_investigation_agency_act_1974,data/raw/federal_investigation_agency_act_1974.pdf,en,1975-01-13,1975-01-13,,,in_force,consolidated-2026,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,c5d2fb8d08f0b1621d7b7bab0bedbf735ef42cf4548099fcab05d2943f81fa8d,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
national_accountability_ordinance_1999,"National Accountability Ordinance, 1999 (Ordinance XVIII of 1999)",NAB Ordinance,ordinance,federal,,Parliament of Pakistan,anti_corruption;accountability;nab;white_collar_crime,https://pakistancode.gov.pk/english/national_accountability_ordinance_1999,data/raw/national_accountability_ordinance_1999.pdf,en,1999-11-16,1999-11-16,,,in_force,consolidated-2026,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,ebc56f1c7c00c1c611dfa31db8b9319df7ce73bcf02f9b81f1860b47d613afa6,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
family_courts_act_1964,"Family Courts Act, 1964 (W.P. Act XXXV of 1964)",Family Courts Act,act,federal,,Parliament of Pakistan,family;divorce;khula;maintenance;dower;custody,https://pakistancode.gov.pk/english/family_courts_act_1964,data/raw/family_courts_act_1964.pdf,en,1964-07-18,1964-07-18,,,in_force,consolidated-2026,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,b4d36f8c22e05c679a4e03f6a80cebb82a4adb13113058d1e508795325a37d81,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
guardians_and_wards_act_1890,"Guardians and Wards Act, 1890 (Act VIII of 1890)",Guardians & Wards Act,act,federal,,Parliament of Pakistan,family;custody;guardianship;minor_welfare,https://pakistancode.gov.pk/english/guardians_and_wards_act_1890,data/raw/guardians_and_wards_act_1890.pdf,en,1890-03-21,1890-03-21,,,in_force,consolidated-2026,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,fd1cc63a36929986ea4f44243a328c8a8c89a63515e9f4e01d01f6cb260ec038,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
muslim_family_laws_ordinance_1961,"Muslim Family Laws Ordinance, 1961 (Ordinance VIII of 1961)",MFLO 1961,ordinance,federal,,Parliament of Pakistan,family;marriage;talaq;polygamy;inheritance,https://pakistancode.gov.pk/english/muslim_family_laws_ordinance_1961,data/raw/muslim_family_laws_ordinance_1961.pdf,en,1961-03-02,1961-03-02,,,in_force,consolidated-2026,2026-08-21T09:24:07.856836+00:00,2026-08-21T09:24:07.856836+00:00,667a95fb100152a6cd65abb93b989d50650d0bf6378a7f8280e5cda67c761ea2,application/pdf,pdf,True,True,1,False,verified,Official legislative text verified against Gazette of Pakistan and official provincial codes.
